problem_number,description,problem_type
1,The screw is too small for the hole,sizing issue
2,Bolt does not fit properly in the socket,fitting problem
3,The part is cracked and needs replacement,component damage
4,Machine is overheating during operation,thermal issue
5,Component is loose and vibrating,mechanical failure
6,The material is bent and deformed,structural damage
7,Electrical connection is faulty,electrical fault
8,Sensor is not responding correctly,sensor malfunction
9,The bearing is worn out and noisy,wear and tear
10,Hydraulic pressure is too low,pressure issue
11,The gasket is leaking fluid,seal failure
12,Motor is running at wrong speed,speed control
13,Temperature sensor shows incorrect readings,calibration error
14,The valve is stuck in closed position,mechanical jam
15,Wire insulation is damaged,insulation damage
16,The gear teeth are worn down,wear and tear
17,Pump is not delivering enough pressure,pressure issue
18,The filter is clogged with debris,blockage
19,Circuit breaker keeps tripping,electrical fault
20,The spring has lost its tension,spring failure
21,The screw is too small for the hole,sizing issue
22,Bolt does not fit properly in the socket,fitting problem
23,The part is cracked and needs replacement,component damage
24,Machine is overheating during operation,thermal issue
25,Component is loose and vibrating,mechanical failure
26,The material is bent and deformed,structural damage
27,Electrical connection is faulty,electrical fault
28,Sensor is not responding correctly,sensor malfunction
29,The bearing is worn out and noisy,wear and tear
30,Hydraulic pressure is too low,pressure issue
31,The gasket is leaking fluid,seal failure
32,Motor is running at wrong speed,speed control
33,Temperature sensor shows incorrect readings,calibration error
34,The valve is stuck in closed position,mechanical jam
35,Wire insulation is damaged,insulation damage
36,The gear teeth are worn down,wear and tear
37,Pump is not delivering enough pressure,pressure issue
38,The filter is clogged with debris,blockage
39,Circuit breaker keeps tripping,electrical fault
40,The spring has lost its tension,spring failure
41,The screw is too small for the hole,sizing issue
42,Bolt does not fit properly in the socket,fitting problem
43,The part is cracked and needs replacement,component damage
44,Machine is overheating during operation,thermal issue
45,Component is loose and vibrating,mechanical failure
46,The material is bent and deformed,structural damage
47,Electrical connection is faulty,electrical fault
48,Sensor is not responding correctly,sensor malfunction
49,The bearing is worn out and noisy,wear and tear
50,Hydraulic pressure is too low,pressure issue
51,The gasket is leaking fluid,seal failure
52,Motor is running at wrong speed,speed control
53,Temperature sensor shows incorrect readings,calibration error
54,The valve is stuck in closed position,mechanical jam
55,Wire insulation is damaged,insulation damage
56,The gear teeth are worn down,wear and tear
57,Pump is not delivering enough pressure,pressure issue
58,The filter is clogged with debris,blockage
59,Circuit breaker keeps tripping,electrical fault
60,The spring has lost its tension,spring failure
61,The screw is too small for the hole,sizing issue
62,Bolt does not fit properly in the socket,fitting problem
63,The part is cracked and needs replacement,component damage
64,Machine is overheating during operation,thermal issue
65,Component is loose and vibrating,mechanical failure
66,The material is bent and deformed,structural damage
67,Electrical connection is faulty,electrical fault
68,Sensor is not responding correctly,sensor malfunction
69,The bearing is worn out and noisy,wear and tear
70,Hydraulic pressure is too low,pressure issue
71,The gasket is leaking fluid,seal failure
72,Motor is running at wrong speed,speed control
73,Temperature sensor shows incorrect readings,calibration error
74,The valve is stuck in closed position,mechanical jam
75,Wire insulation is damaged,insulation damage
76,The gear teeth are worn down,wear and tear
77,Pump is not delivering enough pressure,pressure issue
78,The filter is clogged with debris,blockage
79,Circuit breaker keeps tripping,electrical fault
80,The spring has lost its tension,spring failure
81,The screw is too small for the hole,sizing issue
82,Bolt does not fit properly in the socket,fitting problem
83,The part is cracked and needs replacement,component damage
84,Machine is overheating during operation,thermal issue
85,Component is loose and vibrating,mechanical failure
86,The material is bent and deformed,structural damage
87,Electrical connection is faulty,electrical fault
88,Sensor is not responding correctly,sensor malfunction
89,The bearing is worn out and noisy,wear and tear
90,Hydraulic pressure is too low,pressure issue
91,The gasket is leaking fluid,seal failure
92,Motor is running at wrong speed,speed control
93,Temperature sensor shows incorrect readings,calibration error
94,The valve is stuck in closed position,mechanical jam
95,Wire insulation is damaged,insulation damage
96,The gear teeth are worn down,wear and tear
97,Pump is not delivering enough pressure,pressure issue
98,The filter is clogged with debris,blockage
99,Circuit breaker keeps tripping,electrical fault
100,The spring has lost its tension,spring failure
101,The screw is too small for the hole,sizing issue
102,Bolt does not fit properly in the socket,fitting problem
103,The part is cracked and needs replacement,component damage
104,Machine is overheating during operation,thermal issue
105,Component is loose and vibrating,mechanical failure
106,The material is bent and deformed,structural damage
107,Electrical connection is faulty,electrical fault
108,Sensor is not responding correctly,sensor malfunction
109,The bearing is worn out and noisy,wear and tear
110,Hydraulic pressure is too low,pressure issue
